DATE,ADDRESS,CITY,STATE,POSTAL CODE,AGENT,BROKER,PRICE,LATITUDE,LONGITUDE
04/07/2024,1006 - 275 YORKLAND ROAD,TORONTO,ONTARIO,M2J0B4,HUBERT LEE,LANDPOWER REAL ESTATE LTD.,"$579,900",43.7746398,79.3369485
03/07/2024,1006 - 3077 WESTON ROAD,TORONTO,ONTARIO,M9M3A1,HIEP NGUYEN,RIGHT AT HOME REALTY,"$520,000",43.7324317,79.5369303
6/24/2024,1006 - 3091 DUFFERIN STREET,TORONTO,ONTARIO,M6A0C4,RUBY THAMBIAH,RE/MAX REALTY SERVICES INC.,"$519,900",43.7153136,79.454618
25/06/2024,1006 - 357 KING STREET W,TORONTO,ONTARIO,M5V0S7,SELENA ZHANG,RE/MAX REALTRON REALTY INC.,"$759,999",43.6457762,79.3925063
02/07/2024,1006 - 50 LOTHERTON PATHWAY,TORONTO,ONTARIO,M6B2G8,CINA MARQUES,ROYAL LEPAGE SUPREME REALTY,"$430,000",43.7058771,79.4670119
04/07/2024,1006 - 85 SKYMARK DRIVE,TORONTO,ONTARIO,M2H3P2,ANDRE LEVY-BENCHETON,FOREST HILL REAL ESTATE INC.,"$1,079,000",43.7961458,79.3539331
27/06/2024,1006 - 942 YONGE STREET,TORONTO,ONTARIO,M4W3S8,ALINA SPEKTOR,RE/MAX EXPERTS,"$669,000",43.6745659,79.3886898
27/06/2024,1007 - 10 KENNETH AVENUE,TORONTO,ONTARIO,M2N6K6,MARK OULAHEN,OULAHEN TEAM REALTY INC.,"$639,000",43.7639664,79.4057714
6/24/2024,1007 - 11 WELLESLEY STREET W,TORONTO,ONTARIO,M4Y0G4,FANNY SIU HUNG KWAN,LANDPOWER REAL ESTATE LTD.,"$765,000",43.6645977,79.3852242
27/06/2024,1007 - 15 BEVERLEY STREET,TORONTO,ONTARIO,M5T1X8,CHRISTOPHER ANDREW BIBBY,RE/MAX HALLMARK BIBBY GROUP REALTY,"$685,000",43.6504285,79.3922418
29/06/2024,1007 - 15 WINDERMERE AVENUE,TORONTO,ONTARIO,M6S5A2,MICHELLE FUSCO,KELLER WILLIAMS EMPOWERED REALTY,"$739,000",43.6369422,79.4688746
03/07/2024,1007 - 251 MANITOBA STREET,TORONTO,ONTARIO,L4B3K6,SALWA ANWARALI,EXP REALTY,"$549,000",43.6238372,79.4893647
29/06/2024,1007 - 320 RICHMOND STREET E,TORONTO,ONTARIO,M5A1P9,DAMIRIS MORO,RE/MAX WEST REALTY INC.,"$2,350/MONTHLY",43.6535819,79.3687903
04/07/2024,1007 - 400 MCLEVIN AVENUE,TORONTO,ONTARIO,M1B5J4,VICTOR TU,IPRO REALTY LTD.,"$2,500/MONTHLY",43.8098877,79.2219836
6/25/2024,1007 - 4727 SHEPPARD AVENUE E,TORONTO,ONTARIO,M1S5B3,PETER LUO,RE/MAX REALTRON REALTY INC.,"$672,880",43.7894966,79.2535792
